번호,스타일명(한글),스타일명(영문),특징1,특징2,특징3,스타일_참고사진 (구글시트 수식),주방_참고사진,화장실_참고사진,소파_참고사진,침대_참고사진,오브제1_참고사진,오브제2_참고사진,오브제3_참고사진,벽지명,벽지_참고사진,바닥재명,바닥_참고사진,벽지시공_추천날씨,바닥시공_추천날씨,평당_벽지인건비,벽지부자재비,평당_바닥인건비,바닥부자재비,날씨별_시공유의사항,,,,,주요타겟층,난이도
11,보헤미안,Bohemian,다양한 패턴과 컬러,"라탄, 패브릭, 식물 활용",자유롭고 개성 있는 느낌,"=IMAGE(""https://images.homify.com/v1440572762/p/photo/image/623760/FLG_6934.jpg"")","=IMAGE(""https://i.pinimg.com/736x/eb/75/a2/eb75a2e03366391453f5f446484675c1.jpg"")","=IMAGE(""https://i.pinimg.com/736x/98/b2/d9/98b2d9cd8428dd9ab4c7f57597cd5c97.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSG6EGbWheT6-91AYz3XJicejJZ4RNgb73hrtIUMAZMzQ&s=10"")","=IMAGE(""https://i.pinimg.com/1200x/00/c4/46/00c446acfe29d4cc7fac38ee6ed3519a.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/ac/29/63/ac29638e23e60b6d2e782327baf686c5.jpg"")","=IMAGE(""https://i.pinimg.com/736x/0d/ae/ae/0daeae26c3fccacc244706c4d36db4f4.jpg"")","=IMAGE(""https://i.pinimg.com/736x/e1/1f/8f/e11f8f9c0a16d1033cd24e15c787ce24.jpg"")",수입 프리미엄 에스닉 패턴벽지,"=IMAGE(""https://i.pinimg.com/1200x/57/29/74/572974be8d43caef7c2770afb4e3666f.jpg"")",인도네시아산 리얼 티크 원목마루,"=IMAGE(""https://i.pinimg.com/736x/a6/87/01/a68701474f965e1a88d6833715fbc39d.jpg"")",봄/가을 추천,겨울철 피함 권장,"45,000","12,000","70,000","25,000",천연 라탄 및 황마 소재 월커버링은 장마철 고습도 환경에서 곰팡이 발생 확률이 매우 높음,,,,,자유로운 라이프스타일,어려움
12,코스탈,Coastal,화이트 + 블루 컬러,바다를 연상시키는 분위기,시원하고 편안한 느낌,"=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAOsJrQulFCCwt524Mb-Qyb2iaz0RMvCvWJln4ffRroPORnzBsS8THIfXw&s=10"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3iOoKp9smSIbAV3kvLkPbegHzqvyZLdntuyIGsrPEtgAqUcDV3j5lCiA&s=10"")","=IMAGE(""https://th.bing.com/th/id/OIP.6L63qScJ7WP2BkaNXiQd0QHaEK?w=324&h=182&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwD30VbLxs1jYP2ItsKJyOesX1AJhSmU5JQMXmUWH7eA&s"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHjLapgi1LNVd-p0jpF2zXZpbIvZVyfbPHvdjnRU_x6nKD_X8gyVaKHzQ&s=10"")","=IMAGE(""https://i.pinimg.com/1200x/6d/fb/ce/6dfbce687e20be0eda03e338a4dc220e.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/e8/e3/a7/e8e3a7dbce74e42a29c63052b1236889.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3SabW0OpsDa1rW855M75FmBKFDg4KJWdASC1kAIGCttwfluf3AahyV9o&s=10"")",LX 실크벽지 테라피 스카이블루,"=IMAGE(""https://i.pinimg.com/1200x/e1/97/6c/e1976c4c4de501e34a76af698b46a9bd.jpg"")",워시드 화이트 빈티지 마루,"=IMAGE(""https://i.pinimg.com/736x/78/92/57/7892573205c23083521f210956a5f07b.jpg"")",사계절 가능,사계절 가능,"38,000","8,000","45,000","12,000",화이트 빈티지 마루 시공 시 겨울철 접착제 도포 후 냉해 입지 않도록 보일러 가동 스케줄 조절,,,,,휴양지 감성 선호족,보통
13,미드센추리 모던,Mid-Century,1950~60년대 감성,곡선 가구와 원목 활용,레트로하면서 세련된 느낌,"=IMAGE(""https://www.andacademy.com/resources/wp-content/uploads/2024/11/Untitled-1-10.webp"")","=IMAGE(""https://i.pinimg.com/1200x/f9/5a/5f/f95a5fdc3280bf20fc7933a51927e0eb.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/bb/f4/1b/bbf41b906e7b8b18340aa0388e76dc89.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvCuw50mcn4NPcZONTBRWJRBaSAA6TmlLd6vR2w9TW-NG6iTslg6VVZ23A&s=10"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmDXZfO1yuo_PbuQyxxDZZviwDeuccjw2FQAoozQOmz0ZiASztgfRyflM&s=10"")","=IMAGE(""https://i.pinimg.com/736x/e9/2f/17/e92f17de5fbe2886001d16335b2913f0.jpg"")","=IMAGE(""https://i.pinimg.com/736x/6a/3f/da/6a3fda6e9bbeaa4bff96227ebdbf3cb7.jpg"")","=IMAGE(""https://i.pinimg.com/736x/ca/a6/d0/caa6d034c06aa980649d5ca8794ced9a.jpg"")",던에드워드 페인트 버터크림 컬러,"=IMAGE(""https://i.pinimg.com/1200x/b2/8e/14/b28e1447c1ac3cba613629e0db2af6ea.jpg"")",구정마루 리얼 티크 브낭,"=IMAGE(""https://i.pinimg.com/736x/a6/87/01/a68701474f965e1a88d6833715fbc39d.jpg"")",봄/여름 추천,사계절 가능,"48,000","12,000","45,000","12,000",페인트 도장 마감은 장마철이나 겨울철에 건조가 매우 느려 공기가 연장될 수 있음 건조기 필수,,,,,트렌디한 2030 세대,보통
14,프렌치,French,화이트 몰딩과 엔틱 가구,우아하고 로맨틱한 분위기,파리 감성,"=IMAGE(""https://contents-cdn.viewus.co.kr/image/2024/03/CP-2023-0010/image-6bc1131e-4966-452c-8e16-d8a0fc810423.jpeg"")","=IMAGE(""https://i.pinimg.com/1200x/35/ea/3a/35ea3ad10ae31d7abeea5163a6cee020.jpg"")","=IMAGE(""https://i.pinimg.com/736x/53/17/66/531766dcac0d0435adf8515c65846c7d.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnrfxdvE3DE65-pLwF4xl2A3m8BOkK6sz5nM0sAqqogLJ9VDGofrd5sM4&s=10"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCOsK_26plc0D_qwKbtUdRQUrxTrBPOTHLBW2eEyX0gSE47yc6O8vmcVvs&s=10"")","=IMAGE(""https://i.pinimg.com/736x/53/2e/44/532e445950f1bae73c18b841cf99fa31.jpg"")","=IMAGE(""https://i.pinimg.com/736x/62/9f/a9/629fa9d7c3ff35649958bafc261281e2.jpg"")","=IMAGE(""https://i.pinimg.com/736x/14/5d/b0/145db0f2790e3999c3034aa7b6b42631.jpg"")",신한 실크벽지 리빙 로맨틱 핑크아이보리,"=IMAGE(""https://i.pinimg.com/1200x/1e/39/35/1e39359f1691edad59b81467fc28866b.jpg"")",쉐브론 패턴 화이트 오크 마루,"=IMAGE(""https://i.pinimg.com/736x/a1/60/6f/a1606f7050c1510fd587b2c1c2dd20dd.jpg"")",봄/가을 추천,겨울철 피함 권장,"42,000","9,000","58,000","20,000",퍼티 및 천정 메달리온 마감 작업은 습도가 너무 높거나 낮으면 균열(크랙)이 쉽게 발생함,,,,,"여성 1인 가구, 로맨틱 무드",어려움
15,아시안 에스닉,Asian Ethnic,"대나무, 짚, 패브릭 소재 활용",오리엔탈풍의 이국적인 가구,명상하기 좋은 정적인 분위기,"=IMAGE(""https://media.designcafe.com/wp-content/uploads/2023/04/03180346/asian-living-room-in-contemporary-style.jpg"")","=IMAGE(""https://i.pinimg.com/736x/70/33/51/703351f221b61add2e40d82c5fa36749.jpg"")","=IMAGE(""https://i.pinimg.com/736x/0c/55/93/0c5593beaca2c4f1fefbfa0ed1a37b3b.jpg"")","=IMAGE(""https://th.bing.com/th/id/OIP.d0epqwErQDji1J7kyuWYnwHaEg?w=288&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3"")","=IMAGE(""https://th.bing.com/th/id/OIP.d0epqwErQDji1J7kyuWYnwHaEg?w=288&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3"")","=IMAGE(""https://i.pinimg.com/736x/d7/4a/13/d74a13cf25113743389f9046232e56bf.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/a3/8b/28/a38b281db2422c570241f5dd19683244.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/2c/b8/dc/2cb8dc8d3506833c4689171c37dfe414.jpg"")",한지 느낌 천연 친환경 펄벽지,"=IMAGE(""https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNjA2MDdfMTY4%2FMDAxNzgwNzg4ODQzOTI5.NWgnvtCKJl3NLXSL4NZPSZ25rqHtP9F1hgEi6Fjd8XUg.AV2UGqbB_gywNdXjaxoG1VWwmNSdgR-PJYwKGp04NA8g.JPEG%2Fimage_blog3.jpg&type=sc960_832"")",대나무 대청 스타일 압축 대나무 마루,"=IMAGE(""https://i.pinimg.com/1200x/0d/94/e2/0d94e28f6247afbd1451ccc98117befb.jpg"")",봄/가을 추천,겨울철 피함 권장,"40,000","9,000","60,000","18,000","한지벽지 시공 시 비 오는 날 풀이 마르지 않아 처짐 발생 가능, 자연 건조할 수 있는 날씨 추천",,,,,다도 및 요가 취미족,보통
16,바우하우스,Bauhaus,기능주의와 실용성 중심,"강철관, 유리, 가죽 등의 소재",기하학적이고 입체적인 디자인,"=IMAGE(""https://images.squarespace-cdn.com/content/v1/5e3663c8e354fa0b5adf0d73/29de1678-7bdc-43d8-bac8-878ead2b5264/Projects+LookBook+%2822%29.png"")","=IMAGE(""https://i.pinimg.com/736x/b5/6f/14/b56f14d5b9becaf12b5615694d334c1f.jpg"")","=IMAGE(""https://prs.ohousecdn.com/apne2/content/uploads/cards/project/v1-350608784830464.jpg?w=480&h=480&c=c&q=80&webp=1"")","=IMAGE(""https://images.unsplash.com/photo-1688384452844-8364c3e2fc28?q=80&w=2071&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D"")","=IMAGE(""https://images.unsplash.com/photo-1688384452844-8364c3e2fc28?q=80&w=2071&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D"")","=IMAGE(""https://i.pinimg.com/736x/37/26/e9/3726e987cd4f167cb62002e32340662b.jpg"")","=IMAGE(""https://i.pinimg.com/736x/01/77/96/0177965c3a01d2cc1e3ff92e53d84fa0.jpg"")","=IMAGE(""https://i.pinimg.com/736x/79/db/b2/79dbb212e792c14c012e42c433aa58a7.jpg"")",노루페인트 퓨어 화이트 무광,"=IMAGE(""https://i.pinimg.com/1200x/02/c6/a9/02c6a967ce9c735d407a02cb0ec197a3.jpg"")",600각 라이트그레이 포세린 타일,"=IMAGE(""https://i.pinimg.com/1200x/41/52/32/415232f29d17b24659b8ec33403bf98f.jpg"")",봄/여름 추천,장마철 불가능,"48,000","12,000","55,000","15,000",무광 페인트 벽면과 대형 포세린 타일은 겨울철 혹한기 시공 시 양생 불량으로 타일 들뜸 발생,,,,,건축/디자인 전공 및 선호자,어려움
17,앤틱,Antique,100년 이상의 역사를 가진 가구,빛바랜 나무와 정교한 조각,고풍스럽고 중후한 매력,"=IMAGE(""https://i.pinimg.com/1200x/d4/bc/ea/d4bceaf7dac157840e429a628a6670bf.jpg"")","=IMAGE(""https://i.pinimg.com/736x/db/24/ba/db24badcc9ac31bc99fea9baab8f7d9e.jpg"")","=IMAGE(""https://i.pinimg.com/736x/b2/01/63/b20163068222a76adc702b7578b6a2ae.jpg"")","=IMAGE(""https://plus.unsplash.com/premium_photo-1661847617667-d98f3c976773?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D"")","=IMAGE(""https://images.unsplash.com/photo-1617325247661-675ab4b64ae2?q=80&w=2071&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D"")","=IMAGE(""https://i.pinimg.com/736x/78/e8/96/78e896e770dc1b0040a5d1c78f3665c1.jpg"")","=IMAGE(""https://i.pinimg.com/736x/b3/20/81/b32081a987a5660c6ecb8da787350bd5.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/77/19/17/771917dfebec3b0e30cc45dc85ababbf.jpg"")",영국 수입 딥버건디 무늬벽지,"=IMAGE(""https://i.pinimg.com/1200x/4e/12/f8/4e12f8ce6d065675cbd021e9ce433d69.jpg"")",고재 스타일 앤틱 짙은 월넛 원목마루,"=IMAGE(""https://i.pinimg.com/736x/b2/df/f0/b2dff0158d74cd420ae6dad1f2759d6e.jpg"")",봄/가을 추천,겨울철 피함 권장,"45,000","12,000","75,000","25,000",짙은 원목마루와 천연대리석 벽면은 급격한 온도 변화 시 수축 불균형으로 크랙 위험 존재,,,,,정통 클래식 컬렉터,어려움
18,젠,Zen,동양의 여백의 미 강조,자연 그대로의 돌과 나무 활용,마음이 편안해지는 정갈한 공간,"=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6lWecjr1qbNbKZiYU6K--TupgWpjROnKvdoraZ4QDQMLqvvpLG0b4lU0&s=10"")","=IMAGE(""https://i.pinimg.com/736x/78/a4/04/78a404c873208217959ad7e914670068.jpg"")","=IMAGE(""https://i.pinimg.com/736x/52/cf/53/52cf53c1468ff9f5c7db7640ca695f81.jpg"")","=IMAGE(""https://images.unsplash.com/photo-1697978900478-8efb4386e91f?q=80&w=1364&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D"")","=IMAGE(""https://images.unsplash.com/photo-1765862835282-cd3d9190d246?q=80&w=880&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D"")","=IMAGE(""https://i.pinimg.com/736x/84/92/ed/8492ed66545973a510cf9f390b2225e7.jpg"")","=IMAGE(""https://i.pinimg.com/736x/0b/43/c9/0b43c9d00bde3725b51cfeba51575cbb.jpg"")","=IMAGE(""https://i.pinimg.com/736x/32/0e/56/320e56034611e316ec4716192d2e4b46.jpg"")",LX 지아벽지 황토 무가공 베이지,"=IMAGE(""https://i.pinimg.com/1200x/bd/f0/a3/bdf0a37ef10d2ae7c846a60be00518d7.jpg"")",무광 포세린타일 샌드베이지 컬러,"=IMAGE(""https://i.pinimg.com/736x/b2/8e/14/b28e1447c1ac3cba613629e0db2af6ea.jpg"")",봄/가을 추천,겨울철 피함 권장,"40,000","9,000","55,000","15,000",황토 천연 벽지와 샌드베이지 포세린 타일은 비 오는 날 시공 시 내부 습기 머금음 주의,,,,,"장년층, 힐링 공간 선호층",보통
19,할리우드 글램,Hollywood Glam,레오파드 패턴과 벨벳 소재,거울 가구와 화려한 샹들리에,글래머러스하고 대담한 분위기,"=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxZXpx_V3PM3Dl_eLYwMGoj7qGjmZuGcGjoQD6nG8k-rqg_7-8ZXKSwRIM&s=10"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtAQvKi0JaartE77FTqCGIecno8dSWRw_jCXutRnHJk3rwsiGfqEJDShhw&s=10"")","=IMAGE(""https://i.pinimg.com/736x/93/c2/4b/93c24b9cd5c8311abcc7d7ec85b48a72.jpg"")","=IMAGE(""https://www.elle.co.kr/resources_old/online/org_online_image/el/2c96bf47-0eb8-4210-a31f-5ab8e21aba88.jpg"")","=IMAGE(""https://pimg.designhouse.co.kr/cms/contents/direct/info_id/57804/1322062451171.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/e8/de/32/e8de32649da30695f136f42a937272b2.jpg"")","=IMAGE(""https://gstatic1.promeai.pro/article/2025/09/17/14de795a923b4c219b21f2696a16a8c5.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpN-hVYscTfp-bLy1j4ubG7XAhxMh1mIAhwUITGQlc58DMAuTSSKLd_Z6C&s=10"")",수입 벨벳 텍스처 딥퍼플 벽지,"=IMAGE(""https://search.pstatic.net/sunny/?src=http%3A%2F%2Fimagescdn.gettyimagesbank.com%2F500%2F14%2F379%2F432%2F0%2F486750813.jpg&type=sc960_832"")",천연 대리석 폴리싱 화이트 누보,"=IMAGE(""https://i.pinimg.com/1200x/37/91/5e/37915eede36e035cc96f83660077d087.jpg"")",봄/가을 추천,겨울철 피함 권장,"50,000","14,000","90,000","35,000",벨벳 텍스처 벽지와 대형 은경 거울 마감은 겨울철 결로 발생 시 얼룩 및 접착 탈락 치명적,,,,,"파티룸, 화려한 스튜디오 스타일",매우어려움
20,러스틱,Rustic,가공되지 않은 거친 통원목,시골 별장 같은 투박함,세월의 흔적이 묻어나는 따뜻함,"=IMAGE(""https://cdn.decorilla.com/online-decorating/wp-content/uploads/2024/12/Mountain-rustic-home-before-and-after-by-Decorilla-1024x683.jpeg?width=900"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_n0TzECa4BpkUUkz0O-yAJTaadXNvCaHDEv7Af7utSgM8O3NeTs0zoYU&s=10"")","=IMAGE(""https://i.pinimg.com/1200x/52/dc/6a/52dc6a89a606971f71ced63b62e120cd.jpg"")","=IMAGE(""https://tse1.mm.bing.net/th/id/OIP.fGJ9DSSEWXFR6h7Yb9nlpgHaHa?r=0&w=800&h=800&rs=1&pid=ImgDetMain&o=7&rm=3"")","=IMAGE(""https://as2.ftcdn.net/v2/jpg/02/10/11/11/1000_F_210111161_RhaenrlDWFidISpkZQzKlHYvDSZIvNLD.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/58/d5/8d/58d58d0c83f7c411a82d683d4750fd68.jpg"")","=IMAGE(""https://i.pinimg.com/736x/a8/b6/34/a8b6344da4e910b31b7957bce6c25041.jpg"")","=IMAGE(""https://i.pinimg.com/736x/a5/9b/e8/a59be84b5efcfa235477d16bab4700d9.jpg"")",삼화 스톤코트 거친 회벽 페인트,"=IMAGE(""https://i.pinimg.com/736x/86/a6/f2/86a6f20fb34aa9ac8e469f0641ea69a0.jpg"")",가공되지 않은 와일드 오크 통원목마루,"=IMAGE(""https://i.pinimg.com/736x/fc/52/80/fc52808998b48bd8d02cbad4638d09bc.jpg"")",봄/여름 추천,겨울철 절대주의,"50,000","15,000","80,000","30,000",와일드 통원목마루와 거친 회벽 페인트는 겨울철 보일러 급가동 시 회벽 갈라짐 및 마루 뒤틀림 발생,,,,,"전원주택, 세컨하우스 소유주",어려움
21,셰비 시크,Shabby Chic,화이트 톤의 벗겨진 페인트 가구,레이스와 플라워 패턴 활용,낡았지만 아늑하고 사랑스러운 느낌,"=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSavxa6n0LA9D9j32QXRc0Cn29n8PyeEorwG0eCI1VjdN27ssV-6MGUCzsS&s=10"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFh2Y9S-6UkvysIflmsl4CcnrS8TNJM0QXhw_CMAj4cNLeAFhr3AzHApw&s=10"")","=IMAGE(""https://i.pinimg.com/1200x/df/19/0e/df190e7706e22ba92776d79484213f92.jpg"")","=IMAGE(""https://as1.ftcdn.net/v2/jpg/08/91/89/78/1000_F_891897803_cFshlPiqqgCGT7VHjVb6Fa6l1nvKfwPo.jpg"")","=IMAGE(""https://i.etsystatic.com/60211724/r/il/d9fa4f/8125262825/il_1588xN.8125262825_lu1b.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRc3eCN46j_XtSHVGZIGaufegrg9jD1MX64oqxxuswZfYypK8HtxmD4er4&s=10"")","=IMAGE(""https://www.missmone.com/shopimages/missmone/0110010002132.jpg?1726128235"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQ1IuJxAZ8Uy5V6PMkmi4YZHxA-o93n3IZJ8wTdpmooyR5qHyzBHsciLE&s=10"")",개나리 벽지 로즈 부케 민트화이트,"=IMAGE(""https://i.pinimg.com/1200x/47/be/42/47be42fbed8b1a153975abc55567794a.jpg"")",빈티지 워시 크림 빈티지 장판,"=IMAGE(""https://i.pinimg.com/1200x/ad/ac/a0/adaca050443ded7ab84b05195b507b78.jpg"")",사계절 가능,사계절 가능,"38,000","8,000","30,000","5,000",빈티지 장판 시공은 사계절 비교적 무난하나 동절기 자재 경화로 인한 꺾임 부위 찢어짐 주의,,,,,DIY 및 공방 매니아,보통
22,펑키,Funky,네온 컬러와 과감한 색상 대비,독특하고 실험적인 소품,개성이 강하고 생동감 넘치는 공간,"=IMAGE(""https://i.pinimg.com/originals/36/17/26/361726245a32f7f0eb408e5c20bc8751.png"")","=IMAGE(""https://i.pinimg.com/736x/d4/64/0b/d4640b461f94a9ce0dbc0f285450a8a5.jpg"")","=IMAGE(""https://i.pinimg.com/736x/6a/71/41/6a71414982a4dfdc83ed4ed826287669.jpg"")","=IMAGE(""https://thumbs.dreamstime.com/b/creative-colorful-couch-gradient-rainbow-design-adding-pop-vibrant-color-blending-modern-art-comfort-concept-338009613.jpg?w=992"")","=IMAGE(""https://assets.wfcdn.com/im/35664943/resize-h1200-w1200%5Ecompr-r85/2914/291492186/Pink+And+Blue+Neon+Pop+Art+I+-+Pop+Art+Duvet+Cover+Set-101241055.jpg"")","=IMAGE(""https://mblogthumb-phinf.pstatic.net/MjAyMTAzMTNfMTA3/MDAxNjA2MDA1MDk1ODc3.9CZWjjBHDitWLJ3FH5ww3x-yZPlji8Z4POBuyyOQMqog.Rucq__p2MmvzhspCiBNw54_F9oOJORJHqwp6auwDFv4g.JPEG.gwity/%EB%84%A4%EB%8D%9C%EB%9E%80%EB%93%9C_%EC%BB%AC%EB%9F%AC%ED%8C%9D_%EC%9D%B8%ED%85%8C%EB%A6%AC%EC%96%B4_%ED%95%98%EC%9A%B0%EC%8A%A4-roestompoes_%EC%9D%B8%EC%8A%A4%ED%83%80-2.jpg?type=w800"")","=IMAGE(""https://res.rebelwalls.com/gimmersta-wallpaper/image/upload/c_fill,f_auto,fl_progressive,q_auto,h_720/v1761819578/articles/R21790_interior1.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRE2aLcSlJOgp4hnsF9q0xaFZRSkVgRMtAjcmf8zqCDVQ&s"")",비비드 마젠타 컬러 도장 마감,"=IMAGE(""https://i.pinimg.com/1200x/b2/8e/14/b28e1447c1ac3cba613629e0db2af6ea.jpg"")",칼라풀 레진 에폭시 네온 그린 바닥재,"=IMAGE(""https://i.pinimg.com/736x/13/a3/a5/13a3a507f9c70a1dfa37d0cfe7b8f606.jpg"")",봄/여름 추천,장마철 불가능,"48,000","12,000","65,000","20,000",칼라풀 레진 에폭시는 기온이 5도 이하로 내려가거나 습도가 높으면 경화가 안 되어 전면 재시공해야 함,,,,,"크리에이터, 스트리머 공간",어려움
23,어반 정글,Urban Jungle,벽면을 가득 채운 대형 식물들,자연 친화적인 그린 컬러 중심,도심 속 휴양지 같은 싱그러움,"=IMAGE(""https://www.tecnoarredo3.com/data/image/BLOG/9_BLOG_STILE_JUNGLE/0-TITOLO.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/6b/a3/6e/6ba36e71e9028a6435cc9a37d60b2bd1.jpg"")","=IMAGE(""https://i.pinimg.com/736x/ff/a9/70/ffa97094209f8a6abc8f1ab8385a36e1.jpg"")","=IMAGE(""https://www.mueblesjobe.com/wp-content/uploads/2023/02/sofa-cama-versatil.png"")","=IMAGE(""https://i.pinimg.com/736x/48/50/7b/48507bb2f5ebc21fd1e3b19a9db2d583.jpg"")","=IMAGE(""https://mblogthumb-phinf.pstatic.net/MjAyMTAzMTNfOSAg/MDAxNjE1NTk1ODI5MTU3.SswDlG30kkgNSmuS-6f1cDViL_62jEHitJnUyxy6kggg.QUiMK3ewEx-hZBJxZq-gEuL0F-xOq2ItI7hF2K7FvcEg.JPEG.gwity/%EC%8B%9D%EB%AC%BC%EC%9D%B8%ED%85%8C%EB%A6%AC%EC%96%B4_%EC%9E%91%EA%B0%80%EC%9D%98_%EB%AE%8C%ED%97%A8%ED%99%88-igorjosif_%EC%9D%B8%EC%8A%A4%ED%83%80-5.jpg?type=w800"")","=IMAGE(""https://i.pinimg.com/736x/d7/4a/13/d74a13cf25113743389f9046232e56bf.jpg"")","=IMAGE(""https://i.pinimg.com/736x/a0/e0/86/a0e086108e2ea97de449b0812ccc5a92.jpg"")",대형 보태니컬 리프 뮤럴(벽화) 벽지,"=IMAGE(""https://search.pstatic.net/sunny/?rc=https%3A%2F%2Fthumbnail.coupangcdn.com%2Fthumbnails%2Fremote%2F492x492ex%2Fimage%2Fvendor_inventory%2Fdf1f%2Fdc31dd8f865a2b03d300620b80a8420325a6b6c25051ec0b4bd1aff67db4.jpg&type=sc960_832"")",티크 우드 광폭 강마루,"=IMAGE(""https://i.pinimg.com/736x/fc/52/80/fc52808998b48bd8d02cbad4638d09bc.jpg"")",봄/가을 추천,사계절 가능,"45,000","12,000","45,000","12,000","대형 뮤럴 벽지는 장마철 습도 조절 실패 시 기포가 차며, 수직정원 메쉬망은 겨울철 녹 방지 처리 필수",,,,,플랜테리어 초보/애호가,보통
