번호	스타일명(한글)	스타일명(영문)	스타일_참고사진 (구글시트 수식)	벽지명	바닥재명	난이도	벽지시공_추천날씨	바닥시공_추천날씨	날씨별_시공유의사항
11	보헤미안	Bohemian	=IMAGE("https://images.unsplash.com/photo-1533090161767-e6ffed986c88?w=200")	수입 프리미엄 에스닉 패턴벽지	인도네시아산 리얼 티크 원목마루	어려움	봄/가을 추천	겨울철 피함 권장	천연 라탄 및 황마 소재 월커버링은 장마철 고습도 환경에서 곰팡이 발생 확률이 매우 높음
12	코스탈	Coastal	=IMAGE("https://images.unsplash.com/photo-1522771739844-6a9f6d5f14af?w=200")	LX 실크벽지 테라피 스카이블루	워시드 화이트 빈티지 마루	보통	사계절 가능	사계절 가능	화이트 빈티지 마루 시공 시 겨울철 접착제 도포 후 냉해 입지 않도록 보일러 가동 스케줄 조절
13	미드센추리 모던	Mid-Century	=IMAGE("https://images.unsplash.com/photo-1532372320978-9b4d7a92b24d?w=200")	던에드워드 페인트 버터크림 컬러	구정마루 리얼 티크 브라운	보통	봄/여름 추천	사계절 가능	페인트 도장 마감은 장마철이나 겨울철에 건조가 매우 느려 공기가 연장될 수 있음 건조기 필수
14	프렌치	French	=IMAGE("https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=200")	신한 실크벽지 리빙 로맨틱 핑크아이보리	쉐브론 패턴 화이트 오크 마루	어려움	봄/가을 추천	겨울철 피함 권장	퍼티 및 천정 메달리온 마감 작업은 습도가 너무 높거나 낮으면 균열(크랙)이 쉽게 발생함
15	아시안 에스닉	Asian Ethnic	=IMAGE("https://images.unsplash.com/photo-1545048702-79362596cdc9?w=200")	한지 느낌 천연 친환경 펄벽지	대나무 대청 스타일 압축 대나무 마루	보통	봄/가을 추천	겨울철 피함 권장	한지벽지 시공 시 비 오는 날 풀이 마르지 않아 처짐 발생 가능, 자연 건조할 수 있는 날씨 추천
16	바우하우스	Bauhaus	=IMAGE("https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=200")	노루페인트 퓨어 화이트 무광	600각 라이트그레이 포세린 타일	어려움	봄/여름 추천	장마철 불가능	무광 페인트 벽면과 대형 포세린 타일은 겨울철 혹한기 시공 시 양생 불량으로 타일 들뜸 발생
17	앤틱	Antique	=IMAGE("https://images.unsplash.com/photo-1603460810591-cb335fe4e951?w=200")	영국 수입 딥버건디 무늬벽지	고재 스타일 앤틱 짙은 월넛 원목마루	어려움	봄/가을 추천	겨울철 피함 권장	짙은 원목마루와 천연대리석 벽면은 급격한 온도 변화 시 수축 불균형으로 크랙 위험 존재
18	젠	Zen	=IMAGE("https://images.unsplash.com/photo-1544207240-8b1025eb7a6c?w=200")	LX 지아벽지 황토 무가공 베이지	무광 포세린타일 샌드베이지 컬러	보통	봄/가을 추천	겨울철 피함 권장	황토 천연 벽지와 샌드베이지 포세린 타일은 비 오는 날 시공 시 내부 습기 머금음 주의
19	할리우드 글램	Hollywood Glam	=IMAGE("https://images.unsplash.com/photo-1618221195710-dd6b41faaea6?w=200")	수입 벨벳 텍스처 딥퍼플 벽지	천연 대리석 폴리싱 화이트 누보	매우어려움	봄/가을 추천	겨울철 피함 권장	벨벳 텍스처 벽지와 대형 은경 거울 마감은 겨울철 결로 발생 시 얼룩 및 접착 탈락 치명적
20	러스틱	Rustic	=IMAGE("https://images.unsplash.com/photo-1565183997392-2f6f122e5912?w=200")	삼화 스톤코트 거친 회벽 페인트	가공되지 않은 와일드 오크 통원목마루	어려움	봄/여름 추천	겨울철 절대주의	와일드 통원목마루와 거친 회벽 페인트는 겨울철 보일러 급가동 시 회벽 갈라짐 및 마루 뒤틀림 발생
21	셰비 시크	Shabby Chic	=IMAGE("https://images.unsplash.com/photo-1513151233558-d860c5398176?w=200")	개나리 벽지 로즈 부케 민트화이트	빈티지 워시 크림 빈티지 장판	보통	사계절 가능	사계절 가능	빈티지 장판 시공은 사계절 비교적 무난하나 동절기 자재 경화로 인한 꺾임 부위 찢어짐 주의
22	펑키	Funky	=IMAGE("https://images.unsplash.com/photo-1563089145-599997674d42?w=200")	비비드 마젠타 컬러 도장 마감	칼라풀 레진 에폭시 네온 그린 바닥재	어려움	봄/여름 추천	장마철 불가능	칼라풀 레진 에폭시는 기온이 5도 이하로 내려가거나 습도가 높으면 경화가 안 되어 전면 재시공해야 함
23	어반 정글	Urban Jungle	=IMAGE("https://images.unsplash.com/photo-1530745342582-0795f23ec976?w=200")	대형 보태니컬 리프 뮤럴(벽화) 벽지	티크 우드 광폭 강마루	보통	봄/가을 추천	사계절 가능	대형 뮤럴 벽지는 장마철 습도 조절 실패 시 기포가 차며, 수직정원 메쉬망은 겨울철 녹 방지 처리 필수
24	바이오필릭	Biophilic	=IMAGE("https://images.unsplash.com/photo-1545249390-6bdfa286032f?w=200")	천연 규조토 친환경 벽마감재 토프	천연 코르크 탄성 바닥재 브라운	어려움	봄/가을 추천	겨울철 피함 권장	규조토 벽마감재는 겨울철 동결 시 부스러짐 발생, 코르크 바닥은 장마철 침수 및 과습 주의
25	하이테크	High-Tech	=IMAGE("https://images.unsplash.com/photo-1558036117-15d82a90b9b1?w=200")	LX 실크벽지 테라피 미디엄그레이	무광 다크차콜 대형 대리석 타일	어려움	사계절 가능	겨울철 피함 권장	대형 대리석 타일 시공은 동절기 냉해 방지를 위해 실내 보온 조치 필수, LED 매립은 사계절 무관
26	에클레틱	Eclectic	=IMAGE("https://images.unsplash.com/photo-1616486029423-aaa4789e8c9a?w=200")	딥올리브그린 도장 및 기하학 벽지 혼용	빈티지 쉐브론 패턴 티크 마루	어려움	봄/여름 추천	겨울철 피함 권장	도장과 기하학 벽지 혼용 시 겨울철 수축률 차이로 인해 조인트 부위 벌어짐 현상 발생 가능
27	멕시칸	Mexican	=IMAGE("https://images.unsplash.com/photo-1582582455110-df8b13994784?w=200")	테라코타 오렌지 수성 친환경 페인트	수공예 패턴 멕시칸 타일 무늬 바닥	보통	봄/여름 추천	겨울철 피함 권장	테라코타 오렌지 수성 페인트는 영하 날씨에 얼 수 있어 보관 및 시공 시 상온 유지 필수
28	트로피컬	Tropical	=IMAGE("https://images.unsplash.com/photo-1512918728675-ed5a9ecdebfd?w=200")	야자수 잎 패턴 화려한 수입 벽지	라탄 무늬 한지형 프리미엄 장판	보통	봄/가을 추천	사계절 가능	야자수 패턴 수입 벽지는 고가의 자재이므로 장마철 울음 현상 방지를 위해 에어컨 가동 하 시공 권장
